2016-11-13 21:58:17,715 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SImpleFlpkrtPom:flpkrt:0.0.1-SNAPSHOT @ /Users/12045/Documents/2016/Z_SeleniumFrmWrkPgObj/ApiM_FrameworkPractice/flpkrt/pom.xml.
2016-11-13 21:58:18,817 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-13 21:58:18,822 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-13 21:58:19,769 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-13 21:58:19,769 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SImpleFlpkrtPom:flpkrt:0.0.1-SNAPSHOT @ /Users/12045/Documents/2016/Z_SeleniumFrmWrkPgObj/ApiM_FrameworkPractice/flpkrt/pom.xml.
2016-11-13 21:58:19,770 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-13 21:58:21,309 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-13 21:58:21,311 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-13 21:58:21,312 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-13 21:58:21,312 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
